system:index,area,indexed,system:time_start,.geo
2000_02_18,15862.0,0.4468294881545959,950832000000,
2000_03_05,17431.30980392157,0.49103664339619624,952214400000,
2000_03_21,18259.0,0.5143525169723091,953596800000,
2000_04_06,19131.0,0.5389165891996958,954979200000,
2000_04_22,15069.0,0.4244908307276261,956361600000,
2000_05_08,7768.0,0.21882306543846305,957744000000,
2000_05_24,5020.482352941177,0.14142602194262308,959126400000,
2000_06_09,4788.482352941177,0.13489062657937342,960508800000,
2000_06_25,4633.0,0.1305107186117919,961891200000,
2000_07_11,4537.0,0.12780641708217133,963273600000,
2000_07_27,4647.0,0.13090509591819488,964656000000,
2000_08_12,4660.0,0.13127130341699766,966038400000,
2000_08_28,5173.0,0.1457224147159075,967420800000,
2000_09_13,4786.482352941177,0.134834286964173,968803200000,
2000_09_29,5401.0,0.1521451308487563,970185600000,
2000_10_15,5151.0,0.14510267894870277,971568000000,
2000_10_31,5270.482352941177,0.1484684738426766,972950400000,
2000_11_16,5240.0,0.14760979182512182,974332800000,
2000_12_02,5606.247058823529,0.15792690100632495,975715200000,
2000_12_18,6882.623529411765,0.19388218060823587,977097600000,
2001_01_01,7295.0,0.20549874644356178,978307200000,
2001_01_17,8865.0,0.2497253443758979,979689600000,
2001_02_02,15453.30980392157,0.43531676396297275,981072000000,
2001_02_18,20342.0,0.573030226203555,982454400000,
2001_03_06,25687.623529411765,0.7236154125302618,983836800000,
2001_03_22,25619.623529411765,0.7216998656134472,985219200000,
2001_04_07,25109.0,0.7073156990337756,986601600000,
2001_04_23,21612.0,0.608805881855827,987984000000,
2001_05_09,10249.0,0.2887123580945942,989366400000,
2001_05_25,5753.0,0.16206090312403165,990748800000,
2001_06_10,4408.482352941177,0.12418609969129206,992131200000,
2001_06_26,4474.482352941177,0.1260453069929062,993513600000,
2001_07_12,4301.0,0.12115834248852081,994896000000,
2001_07_28,4143.482352941177,0.11672110067723533,996278400000,
2001_08_13,3741.4823529411765,0.10539683802194925,997660800000,
2001_08_29,3893.0,0.10966506098763346,999043200000,
2001_09_14,4039.141176470588,0.11378182981127885,1000425600000,
2001_09_30,4203.0,0.11839770134369983,1001808000000,
2001_10_16,4314.0,0.1215245499873236,1003190400000,
2001_11_01,4600.482352941177,0.12959470275053317,1004572800000,
2001_11_17,4293.0,0.12093298402771908,1005955200000,
2001_12_03,4511.247058823529,0.12708096168409053,1007337600000,
